route_name,start_time,end_time,runtime,in/outbound,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8
Daughtery_Street,2:18,2:38,0:20,out,2:35,2:38,,,,,,
Daughtery_Street,2:43,3:03,0:20,in,2:45,2:48,2:49,,,,,
Daughtery_Street,2:43,3:03,0:20,out,3:00,3:03,,,,,,
Daughtery_Street,3:08,3:28,0:20,in,3:10,3:13,3:14,,,,,
Daughtery_Street,3:08,3:28,0:20,out,3:25,3:28,,,,,,
Daughtery_Street,3:33,3:53,0:20,in,3:35,3:38,3:39,,,,,
Daughtery_Street,3:33,3:53,0:20,out,3:50,3:53,,,,,,
Daughtery_Street,3:58,4:18,0:20,in,4:00,4:03,4:04,,,,,
Daughtery_Street,3:58,4:18,0:20,out,4:15,4:18,,,,,,
Daughtery_Street,4:23,4:43,0:20,in,4:25,4:28,4:29,,,,,
Daughtery_Street,4:23,4:43,0:20,out,4:40,4:43,,,,,,
Daughtery_Street,4:48,5:08,0:20,in,4:50,4:53,4:54,,,,,
Daughtery_Street,4:48,5:08,0:20,out,5:05,5:08,,,,,,
Daughtery_Street,5:13,5:33,0:20,in,5:15,5:18,5:19,,,,,
Daughtery_Street,5:13,5:33,0:20,out,5:30,5:33,,,,,,
Daughtery_Street,5:38,5:58,0:20,in,5:40,5:43,5:44,,,,,
Daughtery_Street,5:38,5:58,0:20,out,5:55,5:58,,,,,,
Daughtery_Street,6:03,6:23,0:20,in,6:05,6:08,6:09,,,,,
Daughtery_Street,6:03,6:23,0:20,out,6:20,6:23,,,,,,
Daughtery_Street,6:28,6:48,0:20,in,6:30,6:33,6:34,,,,,
Daughtery_Street,6:28,6:48,0:20,out,6:45,6:48,,,,,,
Bernard_Street,7:26,7:38,0:12,in,7:34,7:36,7:38,,,,,
Bernard_Street,7:26,7:38,0:12,out,7:26,7:30,,,,,,
Bernard_Street,7:46,7:58,0:12,in,7:54,7:56,7:58,,,,,
Bernard_Street,7:46,7:58,0:12,out,7:46,7:50,,,,,,
Bernard_Street,8:06,8:18,0:12,in,8:14,8:16,8:18,,,,,
Bernard_Street,8:06,8:18,0:12,out,8:06,8:10,,,,,,
